sales_data_id,sale_date,profit_amount,event,weather,Temperature,sales_amount_lag_1,sales_amount_lag_7,sales_amount_lag_30,sales_amount_ma_30,sales_amount_std_30,sales_amount_ma_60,sales_amount_std_60,month_sin,month_cos,day_of_week_sin,day_of_week_cos
616,,1386.0,Holiday,Mostly_Sunny,33.0,10612.536,24865.0,10612.536,11121.525,3873.5977,15076.632,8996.36,,,,
105,,1378.0,Normal_Day,Mostly_Sunny,30.0,8011.0,9615.0,7042.0,9666.305,2350.5417,10449.292,2359.7417,,,,
143,,1769.0,Normal_Day,Mostly_Sunny,36.0,10612.536,11684.0,8798.0,9884.207,1936.424,10031.465,1966.2433,,,,
548,,1357.0,Normal_Day,Mostly_Sunny,38.0,9344.0,10983.0,11843.0,10599.761,2449.7004,10199.077,2376.696,,,,
107,,,Holiday,Mostly_Sunny,35.0,10612.536,10612.536,7471.0,9770.74,2319.0295,10347.043,2257.3745,,,,
395,,2230.0,Normal_Day,Mostly_Sunny,28.0,10612.536,9431.0,9475.0,10596.125,1999.6693,10465.318,3391.568,,,,
427,,2214.0,Normal_Day,Mostly_Sunny,33.0,6415.0,12763.0,11652.0,10646.86,2971.1838,10556.601,2493.4858,,,,
328,,1628.0,Normal_Day,Mostly_Sunny,31.0,5502.0,4798.0,6694.0,8636.623,3001.723,8937.223,2806.4888,,,,
7,,1780.0,Normal_Day,Mostly_Sunny,34.0,5881.0,,,,,,,,,,
305,,2361.0,Normal_Day,Partly_Cloudy,34.0,13137.0,6694.0,10612.536,9292.956,3052.567,9550.199,2593.1155,,,,
155,,,Holiday,Mostly_Sunny,37.0,10612.536,11312.0,8752.0,10486.658,2471.527,10371.124,2194.543,,,,
350,,882.0,Normal_Day,Mostly_Sunny,34.0,6642.0,7414.0,7819.0,8124.594,2215.26,8601.249,2595.473,,,,
254,,,Holiday,Partly_Cloudy,34.0,10612.536,10612.536,10612.536,10021.494,1898.6863,10511.167,2886.3435,,,,
152,,2729.0,Normal_Day,Mostly_Sunny,38.0,16272.0,9973.0,8810.0,10535.989,2437.1147,10438.781,2182.3694,,,,
617,,1443.0,Normal_Day,Partly_Cloudy,29.0,6675.0,15851.0,10612.536,11000.574,3946.0112,15047.698,9019.911,,,,
213,,1923.0,Normal_Day,Mostly_Sunny,35.0,10612.536,19963.0,17992.0,17164.238,11234.339,15019.648,8749.505,,,,
383,,1334.0,Normal_Day,Mostly_Sunny,33.0,10773.0,7433.0,8863.0,11588.522,4009.4995,9993.101,3570.088,,,,
444,,1948.0,Normal_Day,Mostly_Sunny,35.0,10612.536,10923.0,10612.536,10563.063,2759.9167,10310.3955,2450.3372,,,,
