sales_data_id,sale_date,sales_amount,profit_amount,Temperature,day_of_year,Date,Month,Year,is_closed,event_Normal Day,weather_Mostly Sunny,weather_Partly Cloudy,weather_Scattered Shower
129,2023-03-13,9114.0,1951.0,32.0,72,13,3,2023,0,True,True,False,False
130,2023-03-14,8997.0,2117.0,33.0,73,14,3,2023,0,True,True,False,False
131,2023-03-15,7459.0,1549.0,34.0,74,15,3,2023,0,False,True,False,False
132,2023-03-16,10287.0,2166.0,35.0,75,16,3,2023,0,True,True,False,False
133,2023-03-17,9290.0,2001.0,35.0,76,17,3,2023,0,True,False,True,False
134,2023-03-18,10612.535779816513,2074.0550458715597,36.0,77,18,3,2023,0,False,False,True,False
135,2023-03-19,4599.0,949.0,35.0,78,19,3,2023,0,False,True,False,False
136,2023-03-20,11684.0,2517.0,36.0,79,20,3,2023,0,True,True,False,False
137,2023-03-21,10612.535779816513,2074.0550458715597,36.0,80,21,3,2023,0,True,True,False,False
138,2023-03-22,12619.0,2638.0,37.0,81,22,3,2023,0,True,True,False,False
139,2023-03-23,8950.0,1799.0,36.0,82,23,3,2023,0,True,True,False,False
140,2023-03-24,9345.0,1864.0,37.0,83,24,3,2023,0,True,True,False,False
141,2023-03-25,13479.0,1355.0,37.0,84,25,3,2023,0,False,False,True,False
142,2023-03-26,10612.535779816513,2074.0550458715597,37.0,85,26,3,2023,0,False,True,False,False
143,2023-03-27,8462.0,1769.0,36.0,86,27,3,2023,0,True,True,False,False
144,2023-03-28,11134.0,1851.0,36.0,87,28,3,2023,0,True,True,False,False
145,2023-03-29,9973.0,1982.0,37.0,88,29,3,2023,0,True,True,False,False
146,2023-03-30,10263.0,2139.0,35.0,89,30,3,2023,0,True,True,False,False
147,2023-03-31,10630.0,2318.0,36.0,90,31,3,2023,0,True,True,False,False
148,2023-04-01,11312.0,2067.0,36.0,91,1,4,2023,0,False,True,False,False
149,2023-04-02,10612.535779816513,2074.0550458715597,34.0,92,2,4,2023,0,False,False,True,False
150,2023-04-03,16490.0,3115.0,38.0,93,3,4,2023,0,True,True,False,False
151,2023-04-04,16272.0,3154.0,38.0,94,4,4,2023,0,True,True,False,False
152,2023-04-05,13603.0,2729.0,38.0,95,5,4,2023,0,True,True,False,False
