Date,Sales,Profit,Event,Day,Festival,Weather
2566/04/18,16515.0,3128.0,Normal Day,Tuesday,Normal Day,Partly Clooudy
2566/04/19,12595.0,2550.0,Normal Day,Wednesday,Normal Day,Mostly Sunny
2566/04/20,9387.0,1768.0,Normal Day,Thursday,Normal Day,Mostly Sunny
2566/04/21,8855.0,1715.0,Normal Day,Friday,Normal Day,Mostly Sunny
2566/04/22,6193.0,1284.0,Holiday,Saturday,Normal Day,Mostly Sunny
2566/04/23,10562.0,2084.0,Holiday,Sunday,Normal Day,Mostly Sunny
2566/04/24,17795.0,3711.0,Normal Day,Monday,Normal Day,Mostly Sunny
2566/04/25,9421.0,2007.0,Normal Day,Tuesday,Normal Day,Mostly Sunny
2566/04/26,11222.0,2259.0,Normal Day,Wednesday,Normal Day,Partly Clooudy
2566/04/27,11641.0,2176.0,Normal Day,Thursday,Normal Day,Mostly Sunny
2566/04/28,14596.0,2742.0,Normal Day,Friday,Normal Day,Mostly Sunny
2566/04/29,17509.0,3369.0,Holiday,Saturday,Normal Day,Partly Clooudy
2566/04/30,10562.0,2084.0,Holiday,Sunday,Normal Day,Mostly Sunny
2566/05/01,12563.0,2296.0,Normal Day,Monday,Normal Day,Mostly Sunny
2566/05/02,23691.0,4292.0,Normal Day,Tuesday,Normal Day,Mostly Sunny
2566/05/03,22840.0,4112.0,Normal Day,Wednesday,Normal Day,Mostly Sunny
2566/05/04,17516.0,2972.0,Normal Day,Thursday,Normal Day,Mostly Sunny
2566/05/05,19074.0,3421.0,Normal Day,Friday,Normal Day,Mostly Sunny
2566/05/06,17992.0,3288.0,Holiday,Saturday,Normal Day,Mostly Sunny
2566/05/07,9147.0,1638.0,Holiday,Sunday,Normal Day,Mostly Sunny
2566/05/08,26166.0,4550.0,Normal Day,Monday,Normal Day,Partly Clooudy
2566/05/09,23732.0,4143.0,Normal Day,Tuesday,Normal Day,Mostly Sunny
2566/05/10,12515.0,4047.0,Normal Day,Wednesday,Normal Day,Partly Clooudy
2566/05/11,34140.0,5765.0,Normal Day,Thursday,Normal Day,Mostly Sunny
2566/05/12,30331.0,7503.0,Normal Day,Friday,Normal Day,Mostly Sunny
2566/05/13,30095.0,5408.0,Holiday,Saturday,Normal Day,Mostly Sunny
2566/05/14,37997.0,5740.0,Holiday,Sunday,Normal Day,Mostly Sunny
2566/05/15,55488.0,9081.0,Normal Day,Monday,EndClose of Semester,Mostly Sunny
2566/05/16,21394.0,4379.0,Normal Day,Tuesday,Start of Semester1,Mostly Sunny
2566/05/17,17291.0,3192.0,Normal Day,Wednesday,Normal Day,Mostly Sunny
2566/05/18,12952.0,2439.0,Normal Day,Thursday,Normal Day,Mostly Sunny
2566/05/19,14503.0,2714.0,Normal Day,Friday,Normal Day,Mostly Sunny
2566/05/20,12724.0,2424.0,Holiday,Saturday,Normal Day,Mostly Sunny
2566/05/21,10562.0,2084.0,Holiday,Sunday,Normal Day,Mostly Sunny
2566/05/22,13208.0,2641.0,Normal Day,Monday,Normal Day,Mostly Sunny
2566/05/23,12798.0,2547.0,Normal Day,Tuesday,Normal Day,Mostly Sunny
2566/05/24,10408.0,1935.0,Normal Day,Wednesday,Normal Day,Mostly Sunny
2566/05/25,13382.0,2475.0,Normal Day,Thursday,Normal Day,Mostly Sunny
2566/05/26,7753.0,1524.0,Normal Day,Friday,Normal Day,Mostly Sunny
2566/05/27,4712.0,840.0,Holiday,Saturday,Normal Day,Mostly Sunny
2566/05/28,10562.0,2084.0,Holiday,Sunday,Normal Day,Mostly Sunny
2566/05/29,19963.0,2325.0,Normal Day,Monday,Normal Day,Partly Clooudy
2566/05/30,19260.0,1874.0,Normal Day,Tuesday,Normal Day,Mostly Sunny
2566/05/31,8822.0,1862.0,Normal Day,Wednesday,Normal Day,Mostly Sunny
2566/06/01,8244.0,1574.0,Normal Day,Thursday,Normal Day,Mostly Sunny
2566/06/02,5911.0,1243.0,Normal Day,Friday,Normal Day,Mostly Sunny
2566/06/03,10562.0,2084.0,Holiday,Saturday,Normal Day,Mostly Sunny
2566/06/04,10562.0,2084.0,Holiday,Sunday,Normal Day,Mostly Sunny
2566/06/05,9541.0,1923.0,Normal Day,Monday,Normal Day,Mostly Sunny
2566/06/06,12752.0,2606.0,Normal Day,Tuesday,Normal Day,Partly Clooudy
2566/06/07,10334.0,1894.0,Normal Day,Wednesday,Normal Day,Partly Clooudy
2566/06/08,8525.0,1816.0,Normal Day,Thursday,Normal Day,Partly Clooudy
2566/06/09,7860.0,1525.0,Normal Day,Friday,Normal Day,Partly Clooudy
2566/06/10,3686.0,769.0,Holiday,Saturday,Normal Day,Partly Clooudy
2566/06/11,10562.0,2084.0,Holiday,Sunday,Normal Day,Mostly Sunny
2566/06/12,15319.0,2880.0,Normal Day,Monday,Normal Day,Mostly Sunny
2566/06/13,10912.0,2135.0,Normal Day,Tuesday,Normal Day,Mostly Sunny
2566/06/14,13332.0,2884.0,Normal Day,Wednesday,Normal Day,Partly Clooudy
2566/06/15,9449.0,1750.0,Holiday,Thursday,Visakha Bucha,Mostly Sunny
2566/06/16,10562.0,2084.0,Normal Day,Friday,Normal Day,Mostly Sunny
2566/06/17,10562.0,2084.0,Holiday,Saturday,Normal Day,Mostly Sunny
